company_id,company_name,city,latitude,longitude,size_category,revenue,gross_margin,operating_expenses,profit,profit_margin,num_projects,leads_count,conversion_rate,founded_year,employees
CONST_0025,Modern Constructors Enterprises,Miami,25.87338934402017,-80.13885644883462,Small,3346250.75,0.2492,682412.81,151497.95,0.0453,6,18,0.3217,1998,9
CONST_0026,Williams Infrastructure,Seattle,47.7451566338615,-122.48550651186989,Small,3250148.04,0.2661,747753.41,117139.6,0.036,8,44,0.2823,1962,8
CONST_0027,Jones Works,Houston,29.53498413204824,-95.33738336475115,Small,1097538.86,0.3311,124782.49,238586.72,0.2174,6,21,0.4079,2002,3
CONST_0028,Modern Builders,Chicago,41.83342264882101,-87.83880177486303,Medium,13648244.12,0.2489,1482660.81,1914169.61,0.1403,17,16,0.289,1956,47
CONST_0029,QualitySmith & Sons Constructors,Boston,42.30372754471961,-71.21706539256145,Small,4569864.42,0.3284,557481.07,943168.19,0.2064,7,42,0.2475,1985,16
CONST_0030,PremierSmith & Associates Construction,Chicago,41.85937750436512,-87.66003242420763,Small,7994322.24,0.2617,1308137.34,783823.7,0.098,7,12,0.2226,2011,28
CONST_0031,ABC Construction,Dallas,32.69397690564477,-96.9866747220183,Small,1746021.9,0.2557,288879.98,157532.47,0.0902,9,17,0.3043,2003,5
CONST_0032,Williams Construction,Dallas,32.6799888945399,-96.80809319356295,Large,70450871.15,0.2062,17088684.67,-2562233.7,-0.0364,12,7,0.4528,1990,279
CONST_0033,Reliable Properties Corp,Los Angeles,33.999624497831924,-118.39515748438163,Small,1290843.56,0.206,208704.89,57147.83,0.0443,10,18,0.2899,1982,3
CONST_0034,Smith & Sons Infrastructure,New York,40.81651584649446,-73.89064681279922,Small,9867574.46,0.2253,2096235.4,127400.74,0.0129,6,12,0.2403,1954,24
CONST_0035,Elite Building,Miami,25.71326243080307,-80.22310237082165,Small,7920886.74,0.339,1801582.79,883226.69,0.1115,3,7,0.383,1975,26
CONST_0036,Miller Constructors,Chicago,42.00586768218985,-87.5884287200048,Small,8482343.41,0.2116,1886963.97,-92478.01,-0.0109,14,3,0.1479,2013,41
CONST_0037,Smith & Sons Works,Houston,29.812921171269096,-95.39674068344445,Small,6309259.18,0.2284,1044947.32,396395.43,0.0628,10,57,0.2047,1953,21
CONST_0038,Professional Building Partners,Los Angeles,34.085270055706395,-118.39601608704719,Medium,40756709.65,0.1632,4356044.11,2297374.44,0.0564,13,26,0.2264,1965,124
CONST_0039,Jones Works,Dallas,32.97991425259592,-96.89557260463356,Small,4111005.55,0.3294,703369.4,650621.86,0.1583,9,13,0.2429,1994,15
CONST_0040,Advanced Building,Los Angeles,34.03304671760867,-118.28160576461823,Small,5330308.55,0.2876,942124.32,590642.92,0.1108,4,22,0.1507,1977,19
CONST_0041,Modern Construction Corp,New York,40.71970055113591,-73.94834430369443,Small,7727238.44,0.1573,1065319.91,150457.82,0.0195,8,173,0.261,1977,37
CONST_0042,ABC Works,Dallas,32.53102529431365,-96.77517772674689,Small,2903032.06,0.2155,342454.2,283147.67,0.0975,11,42,0.2938,1957,9
CONST_0043,Modern Constructors,Chicago,41.79197157986718,-87.77132025195175,Small,4408953.63,0.2175,1035870.91,-76970.38,-0.0175,9,4,0.2496,2011,17
CONST_0044,ProfessionalSmith & Sons Properties,Boston,42.132304958218946,-71.03185431742202,Small,9070888.82,0.166,1620756.56,-114564.96,-0.0126,7,16,0.1599,2000,24
CONST_0045,Quality Builders Enterprises,Boston,42.38745774031386,-71.14986929501484,Medium,31401469.28,0.2453,7090055.6,613475.21,0.0195,10,23,0.4045,1952,149
CONST_0046,StrategicSmith & Sons Properties,Los Angeles,34.06605079623884,-118.14307071907857,Small,2209732.09,0.1627,549105.24,-189637.09,-0.0858,5,36,0.1788,1998,5
CONST_0047,ABC Works,New York,40.956184807840245,-74.05684059548938,Medium,26340731.72,0.3366,6549344.3,2316619.73,0.0879,3,22,0.2435,2009,113
CONST_0048,ABC Building,Boston,42.40982917778308,-70.97178752965682,Small,8331172.48,0.283,1486779.49,871270.94,0.1046,6,46,0.239,1972,28
CONST_0049,ModernSmith & Associates Infrastructure,Chicago,41.65506700923741,-87.8587061256933,Small,4198262.07,0.2283,754757.77,203690.44,0.0485,15,47,0.1193,1978,18
CONST_0050,Innovative Building Corp,Boston,42.35686697490749,-70.90792286875403,Small,3236402.26,0.2988,339918.89,627083.34,0.1938,9,15,0.329,1954,10
CONST_0051,Reliable Builders,Seattle,47.50832362842177,-122.16148360266023,Small,7946937.83,0.1524,1508061.82,-296625.74,-0.0373,9,45,0.3409,1995,24
CONST_0052,ABC Development,New York,40.64477384128061,-73.94166460689459,Large,112602287.36,0.1702,15584418.91,3575864.77,0.0318,16,46,0.3361,2006,422
CONST_0053,Williams Construction,Chicago,41.82856107570688,-87.70945029586576,Small,3046560.59,0.2716,477992.73,349388.78,0.1147,10,28,0.299,1956,11
CONST_0054,Smith & Associates Construction,Chicago,41.85336322491399,-87.6543743064086,Medium,28088717.64,0.1949,4715138.64,759941.3,0.0271,6,3,0.1915,1977,115
CONST_0055,Strategic Development,Los Angeles,33.867709475970386,-118.23271470530453,Small,9779871.84,0.2418,1795543.45,569208.03,0.0582,12,13,0.2278,2011,40
CONST_0056,Innovative Builders Associates,San Francisco,37.5837746320106,-122.28054177309596,Small,1328947.01,0.2444,245491.29,79321.15,0.0597,1,4,0.1555,1952,4
CONST_0057,Modern Properties,San Francisco,37.73775591340042,-122.37086840034395,Small,6795995.89,0.2317,705478.42,869472.11,0.1279,5,18,0.2118,2003,25
CONST_0058,QualitySmith & Sons Development,San Francisco,37.66199482287828,-122.29441946805888,Small,8987144.34,0.2613,1870422.14,478316.96,0.0532,9,16,0.1494,1968,40
CONST_0059,ABC Properties,New York,40.64120241930738,-74.15586594015069,Medium,35717022.54,0.2908,8450418.96,1935706.41,0.0542,13,14,0.3653,1958,124
CONST_0060,Advanced Constructors,Los Angeles,34.15376869450635,-118.2474634702425,Small,9536079.76,0.3027,1154027.54,1732745.58,0.1817,12,21,0.1691,1971,25
CONST_0061,Williams Building,Dallas,32.84392572844138,-96.77741547449023,Large,286560582.04,0.1843,40360940.1,12462450.42,0.0435,4,26,0.1263,1976,754
CONST_0062,QualitySmith & Sons Development,Seattle,47.65889374126318,-122.51618742313316,Medium,33896524.09,0.2701,6771017.16,2384548.3,0.0703,3,12,0.261,1975,158
CONST_0063,ABC Development,Boston,42.37995583628963,-71.00479981273963,Medium,27487735.85,0.3331,5723769.29,3432470.71,0.1249,7,28,0.3311,2011,70
CONST_0064,ABC Constructors,Phoenix,33.43601060212595,-112.1785912668857,Small,6609992.96,0.2448,1002455.4,615984.6,0.0932,3,34,0.3253,1966,16
CONST_0065,Reliable Works,San Francisco,37.71545354518618,-122.33773014822864,Small,2666196.36,0.2584,615736.39,73155.93,0.0274,10,49,0.3382,1975,12
CONST_0066,Premier Development Partners,Chicago,41.712003906648405,-87.75489963309819,Medium,11766617.51,0.2677,2940513.31,208854.24,0.0177,27,12,0.2199,1988,40
CONST_0067,ProfessionalSmith & Sons Development,Miami,25.74629632840333,-80.27737747494126,Small,6800919.86,0.28,1052133.5,852351.69,0.1253,29,21,0.2564,1953,18
CONST_0068,Smith & Associates Development,Dallas,32.58624879281348,-96.78877160107245,Small,6633022.39,0.3272,1276057.39,894238.02,0.1348,12,13,0.3131,1959,30
CONST_0069,Miller Builders,Phoenix,33.479786196347014,-112.26013489036768,Small,5702672.72,0.2965,573129.75,1117452.45,0.196,6,27,0.2815,1964,20
CONST_0070,Modern Constructors Enterprises,Houston,29.735426871717486,-95.38637230531467,Medium,18730155.51,0.34,4082270.21,2285837.26,0.122,4,101,0.1806,2023,89
CONST_0071,Reliable Constructors,San Francisco,37.824145126400815,-122.36787271470132,Small,1330587.44,0.3415,297959.58,156374.89,0.1175,13,21,0.1893,2011,3
CONST_0072,Jones Builders,Boston,42.37783753918396,-71.0722058084671,Medium,28535229.93,0.2746,6054626.22,1780790.56,0.0624,12,7,0.1857,1960,131
CONST_0073,Smith & Associates Properties,New York,40.69404213357298,-74.09009087980479,Small,4354196.65,0.202,907906.68,-28573.37,-0.0066,7,32,0.1575,2007,13
CONST_0074,Johnson Properties,Phoenix,33.56723932734481,-111.96383432860036,Medium,31751156.32,0.3229,6670488.92,3581914.25,0.1128,7,12,0.259,2012,93
CONST_0075,PremierSmith & Sons Builders,New York,40.63854856491431,-74.06018991243886,Small,8934734.19,0.3423,1517301.04,1540728.4,0.1724,10,60,0.2394,2009,44
CONST_0076,Modern Builders,Dallas,32.5874454014696,-96.67836125877847,Medium,15137948.72,0.2067,1555638.55,1572899.96,0.1039,6,8,0.2338,2017,58
CONST_0077,ABC Construction,Chicago,41.92727930553996,-87.67781318676958,Medium,12694024.06,0.2664,1927999.58,1454121.19,0.1146,7,25,0.144,1975,54
CONST_0078,Advanced Development,Phoenix,33.4418249738927,-111.94413402658357,Small,9498732.71,0.1704,2166959.82,-548007.94,-0.0577,7,36,0.222,2005,33
CONST_0079,AdvancedSmith & Associates Construction,New York,40.67733758170665,-73.91621114612397,Large,238877292.62,0.2777,38134170.26,28203293.56,0.1181,6,12,0.2449,1976,606
CONST_0080,United Properties Enterprises,San Francisco,37.91927646040733,-122.37340709741778,Small,8817608.51,0.3053,1901413.9,790772.78,0.0897,10,10,0.2592,1974,44
CONST_0081,Innovative Infrastructure Group,Los Angeles,34.12310037575885,-118.30108894823351,Small,6465758.03,0.1995,1188159.99,101810.41,0.0157,5,7,0.3253,1970,30
CONST_0082,Advanced Construction Partners,New York,40.7087142066404,-73.92741998413491,Small,5319449.51,0.27,764667.61,671605.62,0.1263,9,10,0.1497,2023,14
CONST_0083,United Builders,New York,40.71053969105552,-74.14453718656698,Large,82587322.47,0.2568,19191643.88,2020781.15,0.0245,4,38,0.2709,1955,258
CONST_0084,Reliable Properties Corp,Seattle,47.619478069826414,-122.31747519921811,Medium,34517766.99,0.2098,8293938.45,-1053243.9,-0.0305,9,28,0.3189,1971,118
CONST_0085,ABC Constructors,Boston,42.55775442737283,-71.16205762468701,Medium,31056106.44,0.2963,3485877.06,5716603.32,0.1841,5,30,0.2529,2005,78
CONST_0086,Strategic Building Solutions,Boston,42.403732366967404,-70.94979538978353,Medium,17981698.04,0.286,1992907.3,3150679.17,0.1752,6,38,0.3947,1973,58
CONST_0087,Elite Infrastructure,Phoenix,33.30196251197902,-111.92302742015515,Small,6292525.4,0.1559,1002570.93,-21699.06,-0.0034,16,30,0.3965,1967,19
CONST_0088,ABC Building,Chicago,41.74179603414489,-87.68483051538455,Medium,15262707.41,0.2932,3607415.35,867076.16,0.0568,5,19,0.3532,1951,69
CONST_0089,UnitedSmith & Sons Builders,Seattle,47.71244015098751,-122.33041149415801,Medium,22485922.27,0.2298,5142484.06,24987.51,0.0011,7,6,0.3511,2023,77
CONST_0090,United Builders,Phoenix,33.418449086182775,-112.20365017674808,Medium,15830262.73,0.2399,2978980.88,818489.67,0.0517,3,6,0.3074,1955,65
CONST_0091,Smith & Sons Construction,Miami,25.858729888726007,-80.20489159727697,Small,3427746.5,0.1614,615881.82,-62583.99,-0.0183,4,17,0.236,1992,11
CONST_0092,Brown Works,Seattle,47.6408488475898,-122.42594679102058,Medium,15586050.19,0.156,2278516.75,152824.76,0.0098,10,24,0.1959,2004,39
CONST_0093,ABC Builders,Seattle,47.627943287317976,-122.29476038080864,Small,1157643.92,0.1988,260043.38,-29869.67,-0.0258,9,23,0.1939,1997,3
CONST_0094,Jones Builders,Dallas,32.79080366558225,-96.8034138346593,Small,6920607.74,0.3499,742109.27,1679291.97,0.2427,8,25,0.2498,1953,20
CONST_0095,EliteSmith & Associates Infrastructure,New York,40.748355062967434,-74.02100555870325,Medium,40491405.39,0.3096,6694747.63,5839882.36,0.1442,7,17,0.3134,2009,130
CONST_0096,Brown Constructors,Houston,29.596025928441193,-95.48864867219264,Small,5911182.0,0.2389,604123.15,807963.01,0.1367,8,48,0.2696,1977,28
CONST_0097,Johnson Building,Chicago,41.88394014721027,-87.39693809915785,Small,4421760.57,0.2298,826983.55,188980.3,0.0427,10,32,0.2532,2000,20
CONST_0098,Smith & Associates Building,Chicago,41.90621914239694,-87.71685726162617,Large,208230209.26,0.1703,35998997.64,-540690.18,-0.0026,4,39,0.1576,1998,526
CONST_0099,Smith & Associates Builders,Chicago,41.72104993963769,-87.68383221831375,Medium,30899241.62,0.1746,7073218.6,-1676835.04,-0.0543,9,39,0.193,2003,99
CONST_0100,Advanced Building Enterprises,New York,40.792420880845256,-74.00111399296743,Small,6698362.38,0.3403,1274308.34,1005014.89,0.15,7,12,0.1474,1998,27
CONST_0101,Quality Constructors,Los Angeles,34.022109598063864,-118.31104906242439,Medium,20992241.42,0.3145,3433506.5,3169033.39,0.151,8,11,0.3962,1970,95
CONST_0102,StrategicSmith & Sons Development,Dallas,32.70320895855222,-96.85274917850079,Small,6777743.5,0.2714,1233580.58,606026.48,0.0894,3,18,0.3207,1988,19
CONST_0103,ABC Properties,New York,40.78092961744205,-74.03334642464549,Small,4069810.22,0.3137,775229.3,501638.7,0.1233,5,36,0.2535,2019,15
CONST_0104,Smith & Sons Constructors,Seattle,47.629578591179076,-122.48768956462035,Small,5671538.12,0.1635,1248041.68,-320617.51,-0.0565,8,35,0.0875,1993,17
CONST_0105,QualitySmith & Sons Constructors,Chicago,41.933932691252174,-87.62219946085877,Small,7575854.59,0.243,825929.91,1015314.3,0.134,9,10,0.3376,1965,37
CONST_0106,ABC Properties,New York,40.63747017756614,-73.92706843881454,Small,9831127.37,0.245,1547212.42,861190.7,0.0876,5,24,0.353,1987,42
CONST_0107,Strategic Works,Los Angeles,33.898554825950974,-118.36276485721787,Small,2058841.26,0.1955,311402.16,91042.55,0.0442,7,6,0.1657,1955,5
CONST_0108,ABC Development,Chicago,41.834241279374275,-87.51316972527633,Small,9929422.13,0.3203,1303500.55,1876744.33,0.189,9,30,0.2096,1951,40
CONST_0109,Quality Builders Enterprises,San Francisco,37.577985271402646,-122.44122511637428,Large,307868643.02,0.3365,57348078.34,46263927.59,0.1503,4,24,0.2719,1957,1041
CONST_0110,Jones Builders,Los Angeles,34.07638667015135,-118.34065238895201,Small,3092962.23,0.166,669652.75,-156242.43,-0.0505,10,14,0.0877,1983,10
CONST_0111,Advanced Builders,Houston,29.699059733645907,-95.40004696864881,Small,9953796.85,0.1616,2033115.61,-425018.89,-0.0427,6,22,0.2549,2001,42
CONST_0112,Brown Construction,Los Angeles,34.22365270681937,-118.34963855438092,Medium,43920635.41,0.2949,9610451.9,3340140.12,0.076,8,4,0.141,2004,155
CONST_0113,Elite Infrastructure Inc,Houston,29.771284563020913,-95.48166314281988,Small,1172730.49,0.202,251015.31,-14167.56,-0.0121,4,19,0.0618,1975,5
CONST_0114,Elite Infrastructure,Miami,25.862890331182676,-80.15969476666679,Medium,19739118.74,0.2803,4374245.74,1159460.84,0.0587,9,18,0.2728,1959,51
CONST_0115,Innovative Building,Seattle,47.51132781770789,-122.54828454617525,Small,8030533.81,0.315,1399865.11,1129965.36,0.1407,8,16,0.3372,1957,38
CONST_0116,Innovative Builders,New York,40.632550726678836,-73.87611886751529,Small,7446910.49,0.1644,824287.42,400110.27,0.0537,4,7,0.2435,1954,24
CONST_0117,ProfessionalSmith & Sons Building,Chicago,41.97295082037167,-87.62631471236082,Medium,12748513.3,0.2349,1432839.19,1561268.71,0.1225,5,33,0.229,1959,35
CONST_0118,Reliable Works Partners,Phoenix,33.52298012510604,-112.01465708268064,Small,9819732.96,0.2704,1839858.54,815164.7,0.083,4,25,0.301,2008,31
CONST_0119,ABC Construction,Boston,42.35551192180191,-70.85460154746487,Small,2473154.21,0.2048,591696.28,-85297.53,-0.0345,4,44,0.1897,1970,6
CONST_0120,InnovativeSmith & Associates Properties,Miami,25.87417986445932,-80.27173940761614,Medium,32312529.02,0.1861,3492297.13,2521675.86,0.078,8,6,0.1844,1999,133
CONST_0121,ReliableSmith & Sons Properties,Los Angeles,34.076275317948856,-117.98353168858196,Small,8566327.25,0.2966,1553379.93,987052.73,0.1152,9,5,0.2864,1957,29
CONST_0122,Advanced Infrastructure,San Francisco,37.7539976742714,-122.50445204542092,Small,3220109.78,0.2953,801071.52,149802.25,0.0465,5,30,0.3639,1990,11
CONST_0123,Williams Development,Los Angeles,34.13489943891173,-118.16391973269506,Small,5717432.54,0.3196,1292108.86,535237.22,0.0936,12,34,0.1827,1953,16
CONST_0124,Premier Development Corp,New York,40.56023436854299,-73.87974158965729,Medium,33721773.37,0.2283,5459328.37,2239525.81,0.0664,5,120,0.1875,1953,160
CONST_0125,ABC Development,San Francisco,37.88392745063443,-122.56149845610727,Small,6394320.69,0.2704,661428.03,1067782.54,0.167,9,11,0.317,2004,18
CONST_0126,Williams Building,Los Angeles,34.129509994153885,-118.15547842175333,Small,4342798.02,0.1625,956306.0,-250564.65,-0.0577,4,13,0.1524,1996,11
CONST_0127,Elite Development,Houston,29.619317550191212,-95.48724705267666,Small,6146850.44,0.2676,784777.23,859836.4,0.1399,5,34,0.0973,1995,25
CONST_0128,QualitySmith & Associates Construction,New York,40.72843781229183,-73.97280282660465,Small,5155595.32,0.2462,852101.64,417109.01,0.0809,5,22,0.2686,1979,20
CONST_0129,PremierSmith & Sons Development,San Francisco,37.667974940604786,-122.61305187345081,Small,1326588.6,0.2051,187502.49,84639.17,0.0638,5,33,0.2648,2006,4
CONST_0130,ABC Works,Phoenix,33.48352888094245,-111.90501065433737,Small,7946719.54,0.1673,1076920.73,252445.63,0.0318,13,15,0.2288,2018,24
CONST_0131,Modern Works,Phoenix,33.28688681840945,-111.95752606455429,Small,6087972.29,0.2428,1496428.46,-18350.99,-0.003,5,11,0.2076,1977,17
CONST_0132,ABC Works,Chicago,41.77088609880144,-87.92193504834947,Small,7370515.88,0.2587,827405.28,1079403.51,0.1464,9,37,0.0971,1989,33
CONST_0133,Elite Construction Corp,Chicago,41.96234499249062,-87.666071568958,Small,9802556.36,0.3088,1711412.53,1315596.71,0.1342,16,24,0.3193,1989,24
CONST_0134,ReliableSmith & Sons Construction,Dallas,32.78503470709932,-96.70887152185672,Medium,11086696.85,0.163,1880189.66,-72604.43,-0.0065,4,20,0.304,2000,46
CONST_0135,ModernSmith & Sons Infrastructure,Los Angeles,33.957861695063,-118.35609014668651,Small,1846324.94,0.2213,394416.15,14238.7,0.0077,4,29,0.2038,1951,7
CONST_0136,Williams Constructors,New York,40.679322466789344,-74.0463648463242,Medium,46245730.19,0.2054,11447123.32,-1949133.75,-0.0421,4,27,0.4941,1961,132
CONST_0137,United Building,Houston,29.668148726962293,-95.25242730022573,Small,9895743.9,0.2471,1171310.57,1273648.66,0.1287,4,25,0.181,1975,45
CONST_0138,Smith & Associates Building,Dallas,32.95748761587992,-96.76192148242451,Medium,17496477.76,0.3216,3899256.76,1728230.05,0.0988,6,5,0.1757,1952,46
CONST_0139,ModernSmith & Sons Development,Phoenix,33.38856321897698,-111.90989533702711,Small,3199059.47,0.1726,361739.79,190381.54,0.0595,8,26,0.3521,1966,8
CONST_0140,ABC Construction,Boston,42.24219602088402,-70.94013206115383,Small,9811944.44,0.2768,1167029.84,1549195.31,0.1579,5,23,0.2792,2012,36
CONST_0141,QualitySmith & Associates Construction,Los Angeles,34.00188547480984,-118.09930033344254,Medium,18621194.75,0.2221,2053467.35,2081844.97,0.1118,8,23,0.3351,1955,55
CONST_0142,ReliableSmith & Sons Constructors,New York,40.72688284265278,-73.89594023932386,Small,1998905.22,0.2394,337922.41,140637.71,0.0704,8,19,0.2736,1975,5
CONST_0143,ABC Infrastructure,Seattle,47.690541430939604,-122.28257870468758,Small,7369194.94,0.3446,1650005.91,889089.0,0.1206,7,22,0.3635,1963,30
CONST_0144,Miller Building,Dallas,32.60667951254519,-96.7441696965333,Small,1615068.42,0.2027,172680.75,154634.12,0.0957,10,10,0.1819,1990,4
CONST_0145,Strategic Works Enterprises,Miami,25.599098890822347,-80.24138584107368,Medium,31252660.82,0.3176,4462678.41,5464117.9,0.1748,8,53,0.1221,2022,81
CONST_0146,Smith & Sons Works,Seattle,47.335876770700075,-122.26431246804691,Medium,43171471.97,0.3258,8019785.31,6045298.08,0.14,5,5,0.2216,1970,132
CONST_0147,Quality Constructors Solutions,Los Angeles,34.027593751187005,-118.32802465953162,Small,7323703.96,0.1975,1295230.49,151103.59,0.0206,21,17,0.2263,1987,34
CONST_0148,Miller Properties,Chicago,41.83516977754828,-87.69904209798739,Small,4256677.84,0.2445,454814.58,585937.49,0.1377,3,18,0.1062,1998,21
CONST_0149,Johnson Development,Los Angeles,34.08411745104192,-118.10965495539769,Small,1330492.26,0.1716,200676.95,27642.38,0.0208,2,21,0.1993,1970,4
CONST_0150,Innovative Building Corp,Miami,25.690859323308956,-80.34317143926128,Small,8868002.72,0.2487,1820945.17,384609.72,0.0434,2,6,0.2398,1994,25
CONST_0151,Professional Building LLC,San Francisco,37.855970365535,-122.36588265289508,Large,374627053.0,0.3226,37580928.79,83264805.14,0.2223,11,8,0.2395,1989,1069
CONST_0152,Modern Works,New York,40.83544051438704,-73.89029036145361,Small,1721620.13,0.221,415356.1,-34956.81,-0.0203,13,5,0.2239,1976,4
CONST_0153,Elite Development Solutions,Boston,42.39179426170122,-70.86880643870053,Small,8461159.59,0.3483,1886854.62,1059766.59,0.1253,4,18,0.3219,1974,24
CONST_0154,Johnson Builders,Seattle,47.48683631682435,-122.240184582639,Medium,43824174.52,0.2885,7208623.64,5434587.84,0.124,12,12,0.3787,1990,153
CONST_0155,ABC Infrastructure,Chicago,41.98135462043417,-87.51712948631724,Small,6239788.72,0.2242,1186565.24,212610.57,0.0341,4,15,0.1612,1969,23
CONST_0156,Quality Development Partners,Los Angeles,34.095842512949304,-118.11106578020129,Small,4410192.5,0.1513,696286.38,-28838.68,-0.0065,13,21,0.2681,1999,14
CONST_0157,Premier Building Solutions,Chicago,41.76828545219692,-87.66598113392325,Small,5549096.06,0.3428,874709.6,1027539.85,0.1852,2,15,0.2231,2022,13
CONST_0158,Smith & Sons Construction,Chicago,41.930995793639255,-87.83369612770055,Small,9650219.37,0.2279,1523063.1,676186.95,0.0701,8,8,0.364,1991,26
CONST_0159,ABC Construction,Seattle,47.66969078041137,-122.38297172210979,Medium,17086837.01,0.2515,3444844.71,852311.51,0.0499,3,22,0.2883,1973,52
CONST_0160,Miller Development,Miami,25.609247871338084,-80.16770750027105,Small,4556239.69,0.1579,780629.23,-61235.86,-0.0134,8,69,0.1995,1995,22
CONST_0161,Advanced Works Associates,Houston,29.755198031154197,-95.20564730513559,Large,477100464.39,0.2526,54413719.75,66092546.09,0.1385,7,5,0.4136,2013,1598
CONST_0162,Reliable Construction,Chicago,41.93021224283794,-87.565278441405,Small,8790194.31,0.3461,1416431.09,1626275.94,0.185,9,21,0.2318,2021,41
CONST_0163,StrategicSmith & Sons Construction,New York,40.90850636405417,-74.03014144104202,Medium,27932762.21,0.2521,5418645.16,1622827.04,0.0581,11,43,0.2424,1973,80
CONST_0164,Elite Properties,Houston,29.881326611096874,-95.51375640533762,Small,8140546.13,0.3481,1059065.94,1774733.11,0.218,8,22,0.1784,1953,28
CONST_0165,Smith & Sons Infrastructure,Dallas,32.779719078721016,-96.73613925576433,Small,4139384.81,0.1722,915777.96,-202977.47,-0.049,5,17,0.3686,2015,12
CONST_0166,Modern Properties LLC,Los Angeles,33.973305923124094,-118.29078289765138,Medium,18444498.85,0.3227,2954733.16,2996940.56,0.1625,13,24,0.1205,1968,55
